run_id,workload,router_policy,cache_model,ttft_slo_ms,requests_under_slo,goodput_under_slo,quality_adjusted_goodput,mean_quality
low_overlap_control-semantic-standard_lora-1781440164447,low_overlap_control,semantic,standard_lora,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-semantic-standard_lora-1781440164447,low_overlap_control,semantic,standard_lora,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-sticky_session-activated_lora-1781440185111,low_overlap_control,sticky_session,activated_lora,25.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-sticky_session-activated_lora-1781440185111,low_overlap_control,sticky_session,activated_lora,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-sticky_session-activated_lora-1781440185111,low_overlap_control,sticky_session,activated_lora,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-sticky_session-activated_lora-1781440185111,low_overlap_control,sticky_session,activated_lora,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-sticky_session-activated_lora-1781440185111,low_overlap_control,sticky_session,activated_lora,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-sticky_session-base_shared-1781440181488,low_overlap_control,sticky_session,base_shared,25.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-sticky_session-base_shared-1781440181488,low_overlap_control,sticky_session,base_shared,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-sticky_session-base_shared-1781440181488,low_overlap_control,sticky_session,base_shared,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-sticky_session-base_shared-1781440181488,low_overlap_control,sticky_session,base_shared,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-sticky_session-base_shared-1781440181488,low_overlap_control,sticky_session,base_shared,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-sticky_session-copy_on_write-1781440188818,low_overlap_control,sticky_session,copy_on_write,25.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-sticky_session-copy_on_write-1781440188818,low_overlap_control,sticky_session,copy_on_write,50.0,0,0.0,0.0,0.9162905747991875
low_overlap_control-sticky_session-copy_on_write-1781440188818,low_overlap_control,sticky_session,copy_on_write,100.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-sticky_session-copy_on_write-1781440188818,low_overlap_control,sticky_session,copy_on_write,150.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-sticky_session-copy_on_write-1781440188818,low_overlap_control,sticky_session,copy_on_write,250.0,48,9.72454860546815,8.910512231367049,0.9162905747991875
low_overlap_control-sticky_session-standard_lora-1781440177938,low_overlap_control,sticky_session,standard_lora,25.0,0,0.0,0.0,0.9162905747991875
